Date,TransactionNumber,MerchantID,Amount,Reference,Particulars,Status,CardNumber,CVV,CardName,RefundDate,RefundTransactionNumber,RefundedAmount,CardType,RefundReference,RefundParticulars
1/12/2022 5:44,P2212B0043138778,632998,19,Webpayment@123,WebPayC,Blocked,222100******2347,1031,UX BOT,1/12/2022 5:44,P221210018138251,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:45,P2212B0043138781,632998,20,Webpayment&ryrtd123,WebPayC,Blocked,345678*****4564,1031,UX BOT,1/12/2022 5:45,P221210018138252,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:45,P2212B0043138783,632998,21,123,WebPayC,Blocked,601531******5676,1031,UX BOT,1/12/2022 5:45,P221210018138254,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:45,P2212B0043138786,632998,22,123@avcd%,WebPayC,Blocked,361295****2349,1031,UX BOT,1/12/2022 5:45,P221210018138256,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 0:36,P221210018145646,632998,100,MasterCard 00,Capture AND Refund,Successful,512345******2346,1023,SUCCESSFUL,2/12/2022 0:36,P221210018145645,100,MasterCard 00,Capture AND Refund,testuatautomation@gmail.com
2/12/2022 0:36,P221210018145649,632998,100,Visa 00,Capture AND Refund,Successful,498765******8769,1023,SUCCESSFUL,2/12/2022 0:36,P221210018145648,100,Visa 00,Capture AND Refund,testuatautomation@gmail.com
2/12/2022 0:36,P221210018145654,632998,100,American Express 00,Capture AND Refund,Successful,345678*****4564,1023,SUCCESSFUL,2/12/2022 0:36,P221210018145653,100,American Express 00,Capture AND Refund,testuatautomation@gmail.com
2/12/2022 0:37,P221210018145657,632998,100,Diners Club 00,Capture AND Refund,Successful,361295****2349,1023,SUCCESSFUL,2/12/2022 0:37,P221210018145656,100,Diners Club 00,Capture AND Refund,testuatautomation@gmail.com
2/12/2022 0:37,P221210018145660,632998,100,QCard 00,Capture AND Refund,Successful,601531******5676,1023,SUCCESSFUL,2/12/2022 0:37,P221210018145659,100,QCard 00,Capture AND Refund,testuatautomation@gmail.com
2/12/2022 2:40,P221210018146546,632998,100,Non3DS 00,Non3DS 00,Successful,512345******2346,1023,SUCCESSFUL,2/12/2022 2:40,P221210018146545,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
2/12/2022 2:40,P221210018146554,632998,100,Non3DS 00,Non3DS 00,Successful,498765******8769,1023,SUCCESSFUL,2/12/2022 2:40,P221210018146551,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
2/12/2022 2:40,P221210018146558,632998,100,Non3DS 00,Non3DS 00,Successful,345678*****4564,1023,SUCCESSFUL,2/12/2022 2:40,P221210018146557,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
2/12/2022 2:41,P221210018146560,632998,100,Non3DS 00,Non3DS 00,Successful,361295****2349,1023,SUCCESSFUL,2/12/2022 2:40,P221210018146559,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
2/12/2022 2:41,P221210018146562,632998,100,Non3DS 00,Non3DS 00,Successful,601531******5676,1023,SUCCESSFUL,2/12/2022 2:41,P221210018146561,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
2/12/2022 4:02,P221210018146826,632998,30,UXRefFilterRefund,UxTransactionFilterRefund,Successful,512345******0008,139,UXBOT,2/12/2022 4:02,P2212T0043147396,30,UXRefFilter,UxTransactionFilter,API\110387
2/12/2022 4:03,P221210018146831,632998,30,UXRefFilterRefund,UxTransactionFilterRefund,Successful,512345******0008,139,UXBOT,2/12/2022 4:03,P2212T0043147400,30,UXRefFilter,UxTransactionFilter,API\110387
2/12/2022 4:37,P221210018146969,632998,6,Refund,Refund UX,Successful,411111******1111,1232,Ux Bot,2/12/2022 4:37,P221210018146968,20,VTR,Card txn,testuatautomation@gmail.com
2/12/2022 4:38,P2212B0043147538,632998,30,Refund,Refund UX,Blocked,411111******1111,1232,Ux Bot,2/12/2022 4:38,P221210018146970,20,VTR,Card txn,testuatautomation@gmail.com
2/12/2022 5:20,P2212B0043147648,632998,26,Refund,Refund UX,Blocked,411111******1111,1234,UX BOT,2/12/2022 5:20,P221210018147081,25,Refund,Refund,testuatautomation@gmail.com
2/12/2022 5:20,P2212B0043147650,632998,25.01,Refund,Refund UX,Blocked,345678*****4564,1234,UX BOT,2/12/2022 5:20,P221210018147082,25,Refund,Refund,testuatautomation@gmail.com
2/12/2022 5:21,P2212B0043147652,632998,99,Refund,Refund UX,Blocked,601531******5676,1234,UX BOT,2/12/2022 5:20,P221210018147083,25,Refund,Refund,testuatautomation@gmail.com
2/12/2022 5:21,P2212B0043147658,632998,25.99,123Refund,Refund UX,Blocked,558715******1374,1234,UX BOT,2/12/2022 5:21,P221210018147088,25,Refund,Refund,testuatautomation@gmail.com
2/12/2022 5:21,P2212B0043147660,632998,26,Refund,Refund UX,Blocked,222100******2347,223,UX Token Bot,2/12/2022 5:21,P221210018147089,25,Refund,Refund,testuatautomation@gmail.com
2/12/2022 5:21,P2212B0043147662,632998,26.12,Refund,Refund UX,Blocked,512345******2346,1023,SUCCESSFUL,2/12/2022 5:21,P221210018147090,25,Refund,Refund,testuatautomation@gmail.com
2/12/2022 5:21,P2212B0043147664,632998,25.99,Refund@234,Refund UX,Blocked,345678*****4564,1234,UX BOT,2/12/2022 5:21,P221210018147091,25,Refund,Refund,testuatautomation@gmail.com
2/12/2022 5:36,P221210018147133,632998,5,WebpaymentC,WebPayC,Successful,411111******1111,1031,UX BOT,2/12/2022 5:36,P221210018147132,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:36,P221210018147135,632998,9,WebpaymentC,WebPayC,Successful,558715******1374,1031,UX BOT,2/12/2022 5:36,P221210018147134,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:36,P221210018147139,632998,10,WebpaymentC,WebPayC,Successful,222100******2347,1031,UX BOT,2/12/2022 5:36,P221210018147136,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:36,P221210018147141,632998,7,WebpaymentC,WebPayC,Successful,345678*****4564,1031,UX BOT,2/12/2022 5:36,P221210018147140,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:37,P221210018147143,632998,7,WebpaymentC,WebPayC,Successful,601531******5676,1031,UX BOT,2/12/2022 5:37,P221210018147142,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:37,P221210018147145,632998,2,WebpaymentC,WebPayC,Successful,361295****2349,1031,UX BOT,2/12/2022 5:37,P221210018147144,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:37,P221210018147149,632998,5,WebpaymentRef,WebPayC,Successful,411111******1111,1031,UX BOT,2/12/2022 5:37,P221210018147146,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:38,P221210018147151,632998,9,Webpayment123,WebPayC,Successful,558715******1374,1031,UX BOT,2/12/2022 5:38,P221210018147150,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:38,P221210018147153,632998,10,Webpayment@123,WebPayC,Successful,222100******2347,1031,UX BOT,2/12/2022 5:38,P221210018147152,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:38,P221210018147155,632998,7,Webpayment&ryrtd123,WebPayC,Successful,345678*****4564,1031,UX BOT,2/12/2022 5:38,P221210018147154,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:38,P221210018147160,632998,7,123,WebPayC,Successful,601531******5676,1031,UX BOT,2/12/2022 5:38,P221210018147159,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:39,P221210018147162,632998,2,123@avcd%,WebPayC,Successful,361295****2349,1031,UX BOT,2/12/2022 5:39,P221210018147161,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:39,P2212B0043147738,632998,11,WebpaymentC,WebPayC,Blocked,411111******1111,1031,UX BOT,2/12/2022 5:39,P221210018147164,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:39,P2212B0043147741,632998,12,WebpaymentC,WebPayC,Blocked,558715******1374,1031,UX BOT,2/12/2022 5:39,P221210018147166,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:39,P2212B0043147745,632998,13,WebpaymentC,WebPayC,Blocked,222100******2347,1031,UX BOT,2/12/2022 5:39,P221210018147169,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:40,P2212B0043147748,632998,14,WebpaymentC,WebPayC,Blocked,345678*****4564,1031,UX BOT,2/12/2022 5:40,P221210018147171,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:40,P2212B0043147750,632998,14,WebpaymentC,WebPayC,Blocked,601531******5676,1031,UX BOT,2/12/2022 5:40,P221210018147172,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:40,P2212B0043147753,632998,16,WebpaymentC,WebPayC,Blocked,361295****2349,1031,UX BOT,2/12/2022 5:40,P221210018147174,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:40,P2212B0043147758,632998,17,WebpaymentRef,WebPayC,Blocked,411111******1111,1031,UX BOT,2/12/2022 5:40,P221210018147176,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:41,P2212B0043147760,632998,18,Webpayment123,WebPayC,Blocked,558715******1374,1031,UX BOT,2/12/2022 5:41,P221210018147179,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:41,P2212B0043147762,632998,19,Webpayment@123,WebPayC,Blocked,222100******2347,1031,UX BOT,2/12/2022 5:41,P221210018147180,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:41,P2212B0043147765,632998,20,Webpayment&ryrtd123,WebPayC,Blocked,345678*****4564,1031,UX BOT,2/12/2022 5:41,P221210018147182,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:41,P2212B0043147767,632998,21,123,WebPayC,Blocked,601531******5676,1031,UX BOT,2/12/2022 5:41,P221210018147183,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
2/12/2022 5:42,P2212B0043147771,632998,22,123@avcd%,WebPayC,Blocked,361295****2349,1031,UX BOT,2/12/2022 5:42,P221210018147186,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 0:36,P221210018155248,632998,100,MasterCard 00,Capture AND Refund,Successful,512345******2346,1023,SUCCESSFUL,3/12/2022 0:36,P221210018155246,100,MasterCard 00,Capture AND Refund,testuatautomation@gmail.com
3/12/2022 0:37,P221210018155251,632998,100,Visa 00,Capture AND Refund,Successful,498765******8769,1023,SUCCESSFUL,3/12/2022 0:37,P221210018155250,100,Visa 00,Capture AND Refund,testuatautomation@gmail.com
3/12/2022 0:37,P221210018155254,632998,100,American Express 00,Capture AND Refund,Successful,345678*****4564,1023,SUCCESSFUL,3/12/2022 0:37,P221210018155253,100,American Express 00,Capture AND Refund,testuatautomation@gmail.com
3/12/2022 0:37,P221210018155257,632998,100,Diners Club 00,Capture AND Refund,Successful,361295****2349,1023,SUCCESSFUL,3/12/2022 0:37,P221210018155256,100,Diners Club 00,Capture AND Refund,testuatautomation@gmail.com
3/12/2022 0:37,P221210018155262,632998,100,QCard 00,Capture AND Refund,Successful,601531******5676,1023,SUCCESSFUL,3/12/2022 0:37,P221210018155260,100,QCard 00,Capture AND Refund,testuatautomation@gmail.com
3/12/2022 2:40,P221210018156137,632998,100,Non3DS 00,Non3DS 00,Successful,512345******2346,1023,SUCCESSFUL,3/12/2022 2:40,P221210018156131,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
3/12/2022 2:40,P221210018156142,632998,100,Non3DS 00,Non3DS 00,Successful,498765******8769,1023,SUCCESSFUL,3/12/2022 2:40,P221210018156141,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
3/12/2022 2:40,P221210018156144,632998,100,Non3DS 00,Non3DS 00,Successful,345678*****4564,1023,SUCCESSFUL,3/12/2022 2:40,P221210018156143,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
3/12/2022 2:41,P221210018156146,632998,100,Non3DS 00,Non3DS 00,Successful,361295****2349,1023,SUCCESSFUL,3/12/2022 2:41,P221210018156145,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
3/12/2022 2:41,P221210018156148,632998,100,Non3DS 00,Non3DS 00,Successful,601531******5676,1023,SUCCESSFUL,3/12/2022 2:41,P221210018156147,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
3/12/2022 3:57,P221210018156385,632998,30,UXRefFilterRefund,UxTransactionFilterRefund,Successful,512345******0008,139,UXBOT,3/12/2022 3:57,P2212T0043156912,30,UXRefFilter,UxTransactionFilter,API\110387
3/12/2022 3:58,P221210018156388,632998,30,UXRefFilterRefund,UxTransactionFilterRefund,Successful,512345******0008,139,UXBOT,3/12/2022 3:58,P2212T0043156914,30,UXRefFilter,UxTransactionFilter,API\110387
3/12/2022 4:30,P221210018156517,632998,6,Refund,Refund UX,Successful,411111******1111,1232,Ux Bot,3/12/2022 4:30,P221210018156516,20,VTR,Card txn,testuatautomation@gmail.com
3/12/2022 4:30,P2212B0043157045,632998,30,Refund,Refund UX,Blocked,411111******1111,1232,Ux Bot,3/12/2022 4:30,P221210018156518,20,VTR,Card txn,testuatautomation@gmail.com
3/12/2022 5:13,P2212B0043157155,632998,26,Refund,Refund UX,Blocked,411111******1111,1234,UX BOT,3/12/2022 5:13,P221210018156629,25,Refund,Refund,testuatautomation@gmail.com
3/12/2022 5:14,P2212B0043157158,632998,25.01,Refund,Refund UX,Blocked,345678*****4564,1234,UX BOT,3/12/2022 5:13,P221210018156631,25,Refund,Refund,testuatautomation@gmail.com
3/12/2022 5:14,P2212B0043157160,632998,99,Refund,Refund UX,Blocked,601531******5676,1234,UX BOT,3/12/2022 5:14,P221210018156633,25,Refund,Refund,testuatautomation@gmail.com
3/12/2022 5:14,P2212B0043157162,632998,25.99,123Refund,Refund UX,Blocked,558715******1374,1234,UX BOT,3/12/2022 5:14,P221210018156634,25,Refund,Refund,testuatautomation@gmail.com
3/12/2022 5:14,P2212B0043157164,632998,26,Refund,Refund UX,Blocked,222100******2347,223,UX Token Bot,3/12/2022 5:14,P221210018156635,25,Refund,Refund,testuatautomation@gmail.com
3/12/2022 5:14,P2212B0043157167,632998,26.12,Refund,Refund UX,Blocked,512345******2346,1023,SUCCESSFUL,3/12/2022 5:14,P221210018156637,25,Refund,Refund,testuatautomation@gmail.com
3/12/2022 5:14,P2212B0043157169,632998,25.99,Refund@234,Refund UX,Blocked,345678*****4564,1234,UX BOT,3/12/2022 5:14,P221210018156638,25,Refund,Refund,testuatautomation@gmail.com
3/12/2022 5:29,P221210018156684,632998,5,WebpaymentC,WebPayC,Successful,411111******1111,1031,UX BOT,3/12/2022 5:29,P221210018156683,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:29,P221210018156687,632998,9,WebpaymentC,WebPayC,Successful,558715******1374,1031,UX BOT,3/12/2022 5:29,P221210018156686,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:29,P221210018156689,632998,10,WebpaymentC,WebPayC,Successful,222100******2347,1031,UX BOT,3/12/2022 5:29,P221210018156688,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:30,P221210018156691,632998,7,WebpaymentC,WebPayC,Successful,345678*****4564,1031,UX BOT,3/12/2022 5:30,P221210018156690,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:30,P221210018156694,632998,7,WebpaymentC,WebPayC,Successful,601531******5676,1031,UX BOT,3/12/2022 5:30,P221210018156693,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:30,P221210018156697,632998,2,WebpaymentC,WebPayC,Successful,361295****2349,1031,UX BOT,3/12/2022 5:30,P221210018156696,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:31,P221210018156699,632998,5,WebpaymentRef,WebPayC,Successful,411111******1111,1031,UX BOT,3/12/2022 5:30,P221210018156698,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:31,P221210018156701,632998,9,Webpayment123,WebPayC,Successful,558715******1374,1031,UX BOT,3/12/2022 5:31,P221210018156700,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:31,P221210018156704,632998,10,Webpayment@123,WebPayC,Successful,222100******2347,1031,UX BOT,3/12/2022 5:31,P221210018156703,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:31,P221210018156707,632998,7,Webpayment&ryrtd123,WebPayC,Successful,345678*****4564,1031,UX BOT,3/12/2022 5:31,P221210018156706,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:32,P221210018156709,632998,7,123,WebPayC,Successful,601531******5676,1031,UX BOT,3/12/2022 5:32,P221210018156708,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:32,P221210018156711,632998,2,123@avcd%,WebPayC,Successful,361295****2349,1031,UX BOT,3/12/2022 5:32,P221210018156710,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:32,P2212B0043157244,632998,11,WebpaymentC,WebPayC,Blocked,411111******1111,1031,UX BOT,3/12/2022 5:32,P221210018156713,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:32,P2212B0043157247,632998,12,WebpaymentC,WebPayC,Blocked,558715******1374,1031,UX BOT,3/12/2022 5:32,P221210018156715,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:33,P2212B0043157249,632998,13,WebpaymentC,WebPayC,Blocked,222100******2347,1031,UX BOT,3/12/2022 5:33,P221210018156716,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:33,P2212B0043157251,632998,14,WebpaymentC,WebPayC,Blocked,345678*****4564,1031,UX BOT,3/12/2022 5:33,P221210018156717,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:33,P2212B0043157255,632998,14,WebpaymentC,WebPayC,Blocked,601531******5676,1031,UX BOT,3/12/2022 5:33,P221210018156720,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:33,P2212B0043157259,632998,16,WebpaymentC,WebPayC,Blocked,361295****2349,1031,UX BOT,3/12/2022 5:33,P221210018156723,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:34,P2212B0043157261,632998,17,WebpaymentRef,WebPayC,Blocked,411111******1111,1031,UX BOT,3/12/2022 5:34,P221210018156724,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
3/12/2022 5:34,P2212B0043157263,632998,18,Webpayment123,WebPayC,Blocked,558715******1374,1031,UX BOT,3/12/2022 5:34,P221210018156725,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
